nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle
0,0.017,0.01,0.03,0.057,0.122,0.171,0.204,0.203,0.228,0.23,0.412,0.445,0.53,0.531,0.993,1
0,0.001,0.13,0.336,0.243,0.054,0.154,0.684,0.692,1.2,1.19,0.084,0.007,0.299,0.32,1.001,1
0.952,0.45,0.977,0.197,0.983,0.622,0.98,0.824,0.923,0.74,0.677,0.143,0.168,0.516,0.35,0.504,0.602
nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle
0,0.02,0.024,0.253,0.134,0.757,0.521,2.788,0.819,4.782,0.785,1.526,1.429,0.977,0.981,1.002,1
0,0.143,0.082,0.238,0.096,0.014,0.169,0.37,0.435,0.741,1.035,0.277,0.308,0.318,0.483,1.015,1
0.983,0.975,0.777,0.979,0.298,0.978,0.85,0.85,0.46,0.672,0.357,0.105,0.118,0.526,0.639,0.309,0.475
nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle
0,0.013,0.002,0.029,0.044,0.151,0.188,0.171,0.168,0.16,0.983,0.26,0.416,0.162,0.511,0.164,1
0,0.062,0.14,0.493,0.405,0.29,0.389,0.747,0.691,1.56,0.962,0.498,0.089,0.693,0.241,1.7,1
0.948,0.383,0.95,0.246,0.955,0.689,0.892,0.824,0.835,0.756,0.563,0.164,0.205,0.214,0.286,0.343,0.181
nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle
0,0.06,0.082,0.005,0.202,0.575,0.615,0.613,0.594,0.019,3.953,0.548,1.214,0.677,0.353,0.973,1
0,0.61,0.241,0.768,1.046,0.95,1.235,2.688,2.699,2.263,1.156,2.222,2.43,3.542,2.555,1.075,1
0.861,0.412,0.865,0.224,0.875,0.696,0.925,0.838,0.92,0.569,0.889,0.128,0.114,0.1,0.12,0.079,0.05
nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle
0,0.013,0.028,0.015,0.073,0.175,0.159,0.171,0.158,0.011,0.012,0.107,0.052,0.649,0.701,0.997,1
0,1.401,1.049,1.722,3.492,2.689,3.35,5.518,5.749,4.925,5.079,6.925,11.714,0.155,0.203,1.32,1
0.909,0.442,0.911,0.164,0.93,0.73,0.946,0.568,0.914,0.497,0.827,0.107,0.272,0.373,0.367,0.278,0.442
nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle
0,0.023,0.023,0.133,0.048,0.326,0.16,0.412,0.188,0.103,0.049,0.707,0.67,0.1,0.95,0.742,1
0,0.162,0.133,0.246,0.185,0.269,0.456,1.623,1.344,1.516,1.491,0.63,0.793,2.994,1.067,3.663,1
0.997,0.998,0.57,0.996,0.032,0.985,0.959,0.854,0.715,0.92,0.904,0.515,0.364,0.302,0.228,0.089,0.078
nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle
0,0.023,0.019,0.037,0,0.161,0.151,0.187,0.193,0.314,0.001,0.101,0.007,0.434,0.176,0.942,1
0,0.103,0.079,0.507,0.063,0.142,0.504,1.733,1.736,0.243,1.5,2.754,2.589,0.027,1.494,0.588,1
0.958,0.98,0.687,0.973,0.177,0.88,0.57,0.933,0.481,0.491,0.451,0.42,0.259,0.367,0.301,0.23,0.216
nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle
0,0.079,0.322,0.298,0.552,1.137,0.525,1.164,0.159,8.574,0.329,0.686,0.489,1.091,0.521,1.074,1
0,0.093,0.071,0.131,0.131,0.121,0.077,0.442,0.49,0.488,0.979,0.734,0.371,0.578,0.463,1.022,1
0.976,0.946,0.928,0.874,0.555,0.953,0.884,0.935,0.728,0.495,0.256,0.434,0.397,0.253,0.166,0.421,0.234
nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle
0,0.051,0.021,0.181,0.304,0.436,0.607,0.822,0.983,3.691,0.91,0.993,1.068,0.096,0.941,0.965,1
0,0.058,0.061,0.137,0.123,0.058,0.136,0.581,0.526,0.723,1.016,0.481,0.479,1.514,0.711,0.993,1
0.935,0.488,0.944,0.181,0.98,0.836,0.982,0.664,0.949,0.629,0.832,0.334,0.407,0.313,0.301,0.16,0.198
nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle
0,0.018,0.004,0.028,0.03,0.152,0.173,0.227,0.178,0.095,0.13,0.358,0.356,0.226,0.256,0.285,1
0,0.237,0.171,0.66,0.431,0.068,0.469,1.788,1.699,1.433,1.429,3.427,1.007,2.609,1.242,0.17,1
0.88,0.562,0.88,0.111,0.885,0.606,0.849,0.843,0.617,0.432,0.513,0.074,0.049,0.172,0.115,0.058,0.053
nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle
0,0.435,0.067,1.585,0.422,4.139,1.248,4.988,1.639,17.477,0.09,5.46,2.723,4.075,1.75,4.91,1
0,0.078,0.124,0.188,0.162,0.113,0.016,0.559,0.573,0.659,0.823,0.429,0.425,0.525,0.569,1.079,1
0.988,0.988,0.751,0.99,0.096,0.989,0.757,0.767,0.744,0.437,0.477,0.159,0.329,0.715,0.908,0.653,0.699
nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle
0,0.006,0.019,0.017,0.088,0.159,0.198,0.191,0.195,0.856,0.917,0.407,0.452,0.182,0.195,0.188,1
0,0.049,0.103,0.136,0.236,0.053,0.064,0.758,0.727,0.715,0.791,0.285,0.189,0.714,0.728,1.143,1
0.958,0.737,0.963,0.173,0.979,0.711,0.981,0.855,0.736,0.626,0.845,0.234,0.374,0.398,0.258,0.307,0.222
nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle
0,0.082,0.058,0.144,0.472,0.832,0.989,1.014,0.879,0.957,0.866,1.197,1.187,1.053,0.995,0.957,1
0,0.075,0.049,0.2,0.227,0.068,0.016,0.451,0.458,0.999,0.968,0.357,0.347,0.474,0.489,0.989,1
0.645,0.624,0.28,0.751,0.258,0.911,0.679,0.747,0.569,0.262,0.197,0.053,0.098,0.382,0.541,0.305,0.31
nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle
0,0.022,0.091,0.126,0.012,0.591,0.543,0.952,0.796,3.856,0.88,0.238,1.107,2.153,0.876,4.301,1
0,0.065,0.047,0.142,0.048,0.018,0.047,0.913,0.843,0.686,1.185,1.212,0.316,0.223,0.565,0.781,1
0.948,0.968,0.671,0.986,0.209,0.973,0.859,0.841,0.755,0.787,0.497,0.356,0.257,0.601,0.459,0.208,0.235
