nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle
0,0.111,1.179,0.137,0.032,0.857,1.023,1.039,1.25,1.234,1.268,0.999,1.249,0.981,0.992,0.995,1
0,0.224,0.143,0.09,0.13,0.337,0.358,0.792,0.792,0.804,0.804,0.968,0.875,0.944,0.946,1.001,1
0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.003,0.002,0.002,0.002,0.004,0.005,0.007,0.006,0.005,0.003
nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle
0,0.678,0.197,0.359,0.035,2.188,1.04,3.863,3.924,11.132,3.654,4.939,4.817,8.398,2.868,10.833,1
0,0.094,0.082,0.141,0.062,0.041,0.214,0.432,0.595,0.697,0.764,0.067,0.088,0.466,0.387,0.696,1
0.447,0.445,0.255,0.471,0.184,0.609,0.315,0.322,0.325,0.77,0.459,0.172,0.143,0.303,0.216,0.252,0.204
nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle
0,0.041,0.042,0.072,0.163,0.716,1.062,1.038,1.085,1.006,1.051,1.531,2.571,0.917,0.929,0.975,1
0,0.159,0.115,0.288,0.312,0.126,0.176,0.395,0.394,0.967,0.954,0.09,0.076,0.378,0.404,0.973,1
0.789,0.444,0.853,0.141,0.892,0.701,0.953,0.779,0.783,0.401,0.296,0.305,0.305,0.705,0.541,0.539,0.384
nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle
